Assembly,Order,Family,Genus,Species,Release_Date
GCF_001430015.1,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Desmodus rotundus polyomavirus 1,2015-11-03T01:01:21.803Z
GCF_000922735.2,Caudovirales,Podoviridae,Gamaleyavirus,Escherichia virus Bp4,2015-10-21T01:04:23.087Z
GCF_000910195.2,Caudovirales,Myoviridae,Schizotequatrovirus,Vibrio virus nt1,2015-10-21T01:04:22.663Z
GCF_000881355.2,Caudovirales,Autographiviridae,Minipunavirus,Morganella virus MmP1,2015-10-21T01:04:17.020Z
GCF_000874185.2,Caudovirales,Siphoviridae,Sasvirus,Corynebacterium virus BFK20,2015-10-21T01:04:13.547Z
GCF_000871065.2,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage tp310-3,2015-10-21T01:04:12.103Z
GCF_000873505.2,Caudovirales,Siphoviridae,Triavirus,Staphylococcus phage tp310-2,2015-10-21T01:04:08.520Z
GCF_000874165.2,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage tp310-1,2015-10-21T01:04:07.257Z
GCF_000868305.2,Caudovirales,Siphoviridae,Wildcatvirus,Mycobacterium virus Wildcat,2015-10-21T01:04:04.143Z
GCF_000868265.2,Caudovirales,Siphoviridae,Liefievirus,Mycobacterium virus Halo,2015-10-21T01:04:00.343Z
GCF_000849825.2,Caudovirales,Autographiviridae,Tiilvirus,Synechococcus virus P60,2015-10-21T01:03:57.130Z
GCF_000848045.2,Caudovirales,Siphoviridae,Lomovskayavirus,Streptomyces virus phiC31,2015-10-21T01:03:53.350Z
GCF_000845025.2,Caudovirales,Siphoviridae,Detrevirus,Pseudomonas virus D3,2015-10-21T01:03:50.360Z
GCF_000840865.2,Caudovirales,Podoviridae,Lessievirus,Burkholderia virus Bcep22,2015-10-21T01:03:44.707Z
GCF_001399285.1,Algavirales,Phycodnaviridae,Prasinovirus,Ostreococcus lucimarinus virus 2,2015-10-18T02:45:06.380Z
GCF_001399265.1,Algavirales,Phycodnaviridae,Prasinovirus,Ostreococcus mediterraneus virus 1,2015-10-18T02:44:45.337Z
GCF_001399225.1,Algavirales,Phycodnaviridae,Prasinovirus,Ostreococcus lucimarinus virus 7,2015-10-18T02:44:10.260Z
GCF_001343705.1,Geplafuvirales,Geminiviridae,Begomovirus,Dolichos yellow mosaic virus,2015-10-17T01:07:54.630Z
GCF_001316395.1,Geplafuvirales,Geminiviridae,Begomovirus,Chilli leaf curl Ahmedabad virus-India [India/Ahmedabad/2014],2015-10-16T01:02:10.817Z
GCF_001316415.1,Cirlivirales,Circoviridae,Circovirus,Bat associated circovirus 4,2015-10-16T01:02:02.783Z
GCF_001310175.1,Caudovirales,Siphoviridae,Unaquatrovirus,Leuconostoc virus 1A4,2015-10-10T01:02:53.863Z
GCF_001310155.1,Caudovirales,Myoviridae,Jilinvirus,Escherichia virus CVM10,2015-10-10T01:02:20.843Z
GCF_001310115.1,Caudovirales,Myoviridae,Tequatrovirus,Escherichia virus AR1,2015-10-10T01:01:07.037Z
GCF_001308835.1,Caudovirales,Myoviridae,Firehammervirus,Campylobacter virus CP220,2015-10-09T01:01:24.423Z
GCF_001308815.1,Caudovirales,Siphoviridae,Kagunavirus,Escherichia virus K1G,2015-10-09T01:01:18.260Z
GCF_001308715.1,Caudovirales,Siphoviridae,Pegunavirus,Mycobacterium virus Soto,2015-10-09T01:01:10.047Z
GCF_001308555.1,Caudovirales,Myoviridae,Firehammervirus,Campylobacter virus CPt10,2015-10-09T01:00:47.183Z
GCF_001308535.1,Caudovirales,Siphoviridae,Kagunavirus,Escherichia virus K1H,2015-10-09T01:00:44.540Z
GCF_001308515.1,Caudovirales,Myoviridae,Vhmlvirus,Vibrio virus VP585,2015-10-09T01:00:41.073Z
GCF_001308415.1,Caudovirales,Podoviridae,Traversvirus,Escherichia virus 24B,2015-10-09T01:00:22.937Z
GCF_001308395.1,Caudovirales,Myoviridae,Anamdongvirus,Lactobacillus virus LBR48,2015-10-09T01:00:20.090Z
GCF_001292975.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Rat associated gemycircularvirus 1,2015-09-17T01:01:17.393Z
GCF_001292915.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Poaceae associated gemycircularvirus 1,2015-09-17T01:01:09.380Z
GCF_001275515.1,Caudovirales,Siphoviridae,Moineauvirus,Streptococcus phage YMC-2011,2015-08-29T01:00:12.017Z
GCF_001275455.1,Petitvirales,Microviridae,Chlamydiamicrovirus,Chlamydia virus CPAR39,2015-08-29T01:00:09.643Z
GCF_001273705.1,Cremevirales,Smacoviridae,Porprismacovirus,Rat associated porprismacovirus 1,2015-08-23T01:00:16.130Z
GCF_001273685.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Chickadee associated gemycircularvirus 1,2015-08-23T01:00:12.380Z
GCF_001271235.1,Chitovirales,Poxviridae,Salmonpoxvirus,Salmon gillpox virus,2015-08-20T01:00:37.260Z
GCF_001271175.1,Rowavirales,Adenoviridae,Mastadenovirus,Equine mastadenovirus B,2015-08-20T01:00:30.813Z
GCF_001271155.1,Rowavirales,Adenoviridae,Mastadenovirus,Skunk mastadenovirus A,2015-08-20T01:00:29.183Z
GCF_001271015.1,Geplafuvirales,Geminiviridae,Capulavirus,Alfalfa leaf curl virus,2015-08-20T01:00:10.483Z
GCF_001190735.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus SKKY,2015-07-31T17:36:38.030Z
GCF_001190715.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Attacne,2015-07-31T17:36:35.370Z
GCF_001190695.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Ouroboros,2015-07-31T17:36:30.650Z
GCF_001190575.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus MrAK,2015-07-31T17:36:15.843Z
GCF_001190455.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Stormborn,2015-07-31T17:35:23.463Z
GCF_001190435.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Lauchelly,2015-07-31T17:35:13.283Z
GCF_001190415.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Procrass1,2015-07-31T17:35:02.230Z
GCF_001190315.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Solid,2015-07-31T17:34:36.667Z
GCF_001190295.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Kubed,2015-07-31T17:34:25.263Z
GCF_001190085.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Wizzo,2015-07-31T15:50:09.473Z
GCF_000919915.2,Caudovirales,Myoviridae,Mosigvirus,Escherichia virus JS09,2015-07-22T01:07:01.630Z
GCF_001184985.1,Cirlivirales,Circoviridae,Cyclovirus,Squirrel associated cyclovirus 1,2015-07-22T01:06:18.657Z
GCF_001184865.1,Sepolyvirales,Polyomaviridae,Alphapolyomavirus,Rattus norvegicus polyomavirus 1,2015-07-22T01:03:53.020Z
GCF_001184845.1,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Gammapapillomavirus 27,2015-07-22T01:02:59.550Z
GCF_000847105.2,Geplafuvirales,Geminiviridae,Mastrevirus,Maize streak virus,2015-07-12T01:00:11.170Z
GCF_001046725.1,Geplafuvirales,Geminiviridae,Begomovirus,Bhendi yellow vein Delhi virus,2015-07-04T01:01:00.207Z
GCF_000954975.2,Caudovirales,Myoviridae,Gelderlandvirus,Salmonella virus STP4a,2015-07-02T09:28:32.597Z
GCF_001045385.1,Piccovirales,Parvoviridae,Dependoparvovirus,Squamate dependoparvovirus 2,2015-07-02T09:28:29.790Z
GCF_001042295.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL179M00,2015-06-27T01:22:55.250Z
GCF_001042395.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL025M00,2015-06-27T01:20:38.253Z
GCF_001042355.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium phage PHL085N00,2015-06-27T01:20:10.960Z
GCF_001042335.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL116M00,2015-06-27T01:20:08.467Z
GCF_001042275.1,Caudovirales,Myoviridae,Seoulvirus,Salmonella virus SPN3US,2015-06-27T01:19:38.490Z
GCF_001042215.1,Caudovirales,Siphoviridae,Unaquatrovirus,Leuconostoc virus Ln8,2015-06-27T01:19:25.190Z
GCF_001042195.1,Caudovirales,Podoviridae,Ithacavirus,Escherichia virus Pollock,2015-06-27T01:19:13.360Z
GCF_001042235.1,Caudovirales,Podoviridae,Kuravirus,Escherichia virus SU10,2015-06-27T01:19:06.800Z
GCF_001042175.1,Caudovirales,Autographiviridae,Novosibovirus,Proteus virus PM75,2015-06-27T01:18:43.650Z
GCF_001042115.1,Caudovirales,Myoviridae,Tequatrovirus,Yersinia virus PST,2015-06-27T01:18:32.827Z
GCF_001042135.1,Caudovirales,Demerecviridae,Tequintavirus,Escherichia virus DT57C,2015-06-27T01:18:12.697Z
GCF_001042095.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus Pacnes201215,2015-06-27T01:18:03.413Z
GCF_001042035.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium phage PHL030N00,2015-06-27T01:17:45.107Z
GCF_001042055.1,Caudovirales,Myoviridae,Tequatrovirus,Yersinia virus D1,2015-06-27T01:17:33.423Z
GCF_001041995.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL092M00,2015-06-27T01:17:23.430Z
GCF_001041955.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL152M00,2015-06-27T01:16:13.307Z
GCF_001041855.1,Caudovirales,Siphoviridae,Unaquatrovirus,Leuconostoc virus Ln9,2015-06-27T01:14:59.957Z
GCF_001041895.1,Caudovirales,Autographiviridae,Novosibovirus,Proteus virus PM16,2015-06-27T01:14:12.533Z
GCF_001041915.1,Caudovirales,Siphoviridae,Timquatrovirus,Mycobacterium virus Fionnbarth,2015-06-27T01:14:09.857Z
GCF_001041875.1,Caudovirales,Podoviridae,Lederbergvirus,Enterobacteria phage Sf101,2015-06-27T01:13:30.900Z
GCF_001041835.1,Caudovirales,Myoviridae,Felixounavirus,Escherichia virus VpaE1,2015-06-27T01:13:08.867Z
GCF_001041815.1,Caudovirales,Autographiviridae,Acadevirus,Proteus virus PM85,2015-06-27T01:13:03.700Z
GCF_001041775.1,Caudovirales,Myoviridae,Gelderlandvirus,Salmonella virus STML198,2015-06-27T01:12:37.167Z
GCF_001041695.1,Caudovirales,Myoviridae,Muvirus,Shigella virus SfMu,2015-06-27T01:12:34.930Z
GCF_001041715.1,Caudovirales,Myoviridae,Seunavirus,Salmonella virus SSE121,2015-06-27T01:12:13.080Z
GCF_001041755.1,Caudovirales,Myoviridae,Alcyoneusvirus,Klebsiella virus K64-1,2015-06-27T01:12:06.343Z
GCF_001041675.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL041M10,2015-06-27T01:12:06.203Z
GCF_001041655.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL070N00,2015-06-27T01:11:48.320Z
GCF_001041615.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL132N00,2015-06-27T01:11:29.577Z
GCF_001041635.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL095N00,2015-06-27T01:11:12.187Z
GCF_001041575.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL301M00,2015-06-27T01:11:05.197Z
GCF_001041555.1,Caudovirales,Herelleviridae,Caeruleovirus,Bacillus virus BCP82,2015-06-27T01:10:37.117Z
GCF_001041495.1,Caudovirales,Myoviridae,Moonvirus,Citrobacter virus Moon,2015-06-27T01:10:14.190Z
GCF_001041535.1,Caudovirales,Myoviridae,Tequatrovirus,Escherichia virus HY01,2015-06-27T01:10:05.887Z
GCF_001041475.1,Caudovirales,Podoviridae,Enhodamvirus,Vibrio phage J2,2015-06-27T01:09:48.570Z
GCF_001041515.1,Caudovirales,Autographiviridae,Phikmvvirus,Pseudomonas virus ABTNL,2015-06-27T01:09:35.547Z
GCF_001041455.1,Caudovirales,Autographiviridae,Acadevirus,Proteus virus PM93,2015-06-27T01:09:20.027Z
GCF_001041435.1,Caudovirales,Podoviridae,Litunavirus,Pseudomonas phage YH6,2015-06-27T01:09:12.057Z
GCF_001041415.1,Caudovirales,Myoviridae,Felixounavirus,Escherichia virus EC6,2015-06-27T01:08:41.207Z
GCF_001041395.1,Caudovirales,Myoviridae,Vulnificusvirus,Vibrio virus PV94,2015-06-27T01:08:13.587Z
GCF_001041375.1,Caudovirales,Autographiviridae,Teseptimavirus,Escherichia virus CICC80001,2015-06-27T01:08:12.323Z
GCF_001041335.1,Caudovirales,Myoviridae,Felixounavirus,Salmonella virus SP116,2015-06-27T01:08:00.063Z
GCF_001041315.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL009M11,2015-06-27T01:07:23.543Z
GCF_001041295.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium phage PHL055N00,2015-06-27T01:07:07Z
GCF_001041175.1,Caudovirales,Myoviridae,Felixounavirus,Salmonella virus UAB87,2015-06-27T01:06:52.987Z
GCF_001041275.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium phage PHL082M00,2015-06-27T01:06:17.073Z
GCF_001041215.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL171M01,2015-06-27T01:05:43.223Z
GCF_001041235.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL141N00,2015-06-27T01:05:39.160Z
GCF_001041135.1,Caudovirales,Siphoviridae,Casadabanvirus,Pseudomonas phage H70,2015-06-27T01:05:05.860Z
GCF_001041155.1,Caudovirales,Herelleviridae,Caeruleovirus,Bacillus virus JBP901,2015-06-27T01:04:34.053Z
GCF_001041115.1,Caudovirales,Drexlerviridae,Tlsvirus,Citrobacter virus Stevie,2015-06-27T01:03:57.670Z
GCF_001041095.1,Caudovirales,Podoviridae,Enhodamvirus,Vibrio phage QH,2015-06-27T01:03:01.080Z
GCF_001041035.1,Caudovirales,Myoviridae,Asteriusvirus,Escherichia virus PBECO4,2015-06-27T01:02:44.330Z
GCF_001041055.1,Caudovirales,Siphoviridae,Dhillonvirus,Escherichia virus YD2008s,2015-06-27T01:02:41.520Z
GCF_001041015.1,Caudovirales,Herelleviridae,Kochikohdavirus,Enterococcus virus ECP3,2015-06-27T01:02:07.923Z
GCF_001040995.1,Caudovirales,Podoviridae,Litunavirus,Pseudomonas phage Pa2,2015-06-27T01:01:30.497Z
GCF_001040975.1,Caudovirales,Autographiviridae,Gajwadongvirus,Escherichia virus ECBP5,2015-06-27T01:00:55.090Z
GCF_001040795.1,Caudovirales,Siphoviridae,Casadabanvirus,Pseudomonas virus LPB1,2015-06-26T01:21:04.347Z
GCF_001040775.1,Caudovirales,Myoviridae,Kleczkowskavirus,Rhizobium phage RHEph06,2015-06-26T01:21:02.857Z
GCF_001040755.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium virus PHL199M00,2015-06-26T01:21:00.193Z
GCF_001038595.1,Caudovirales,Autographiviridae,Pifdecavirus,Pseudomonas virus Pf10,2015-06-24T01:04:12.797Z
GCF_001038615.1,Caudovirales,Siphoviridae,Pahexavirus,Propionibacterium phage PHL150M00,2015-06-24T01:01:26.807Z
GCF_001029045.1,Chitovirales,Poxviridae,Orthopoxvirus,Raccoonpox virus,2015-06-17T01:00:36.917Z
GCF_001028945.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato yellow leaf curl Mali virus,2015-06-17T01:00:21.800Z
GCF_001023565.1,Caudovirales,Myoviridae,Emdodecavirus,Sinorhizobium virus M12,2015-06-10T01:00:22.640Z
GCF_001019915.1,Caudovirales,Myoviridae,Acionnavirus,Synechococcus phage ACG-2014b,2015-06-04T01:00:47.283Z
GCF_001019895.1,Geplafuvirales,Geminiviridae,Begomovirus,Hollyhock yellow vein mosaic virus,2015-06-04T01:00:43.470Z
GCF_001019815.1,Caudovirales,Myoviridae,Ficleduovirus,Flavobacterium virus FCL2,2015-06-04T01:00:30.870Z
GCF_001015285.1,Caudovirales,Ackermannviridae,Kuttervirus,Salmonella virus Det7,2015-05-30T01:02:14Z
GCF_001015265.1,Caudovirales,Podoviridae,Enhodamvirus,Vibrio virus VC8,2015-05-30T01:02:09.230Z
GCF_001008535.1,Herpesvirales,Herpesviridae,Cytomegalovirus,Cercopithecine betaherpesvirus 5,2015-05-17T01:01:15.600Z
GCF_001008515.1,Geplafuvirales,Geminiviridae,Begomovirus,Ageratum yellow vein virus,2015-05-17T01:01:11.940Z
GCF_000859985.2,Herpesvirales,Herpesviridae,Simplexvirus,Human alphaherpesvirus 1,2015-05-14T01:00:15.350Z
GCF_000858385.2,Herpesvirales,Herpesviridae,Simplexvirus,Human alphaherpesvirus 2,2015-05-13T23:41:30.813Z
GCF_000989155.1,Zurhausenvirales,Papillomaviridae,Gammapapillomavirus,Human papillomavirus KC5,2015-05-07T01:01:08.853Z
GCF_000989035.1,Cirlivirales,Circoviridae,Circovirus,Zebra finch circovirus,2015-05-07T01:00:37.560Z
GCF_000982345.1,Caudovirales,Myoviridae,Acionnavirus,Synechococcus phage ACG-2014g,2015-04-30T01:01:20.867Z
GCF_000973475.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Mongoose associated gemycircularvirus 1,2015-04-18T01:02:22.807Z
GCF_000973415.1,Geplafuvirales,Genomoviridae,Gemykibivirus,Mongoose associated gemykibivirus 1,2015-04-18T01:02:12.800Z
GCF_000973435.1,Piccovirales,Parvoviridae,Protoparvovirus,Eulipotyphla protoparvovirus 1,2015-04-18T01:02:12.053Z
GCF_000973355.1,Geplafuvirales,Genomoviridae,Gemykibivirus,Badger associated gemykibivirus 1,2015-04-18T01:02:02.840Z
GCF_000973335.1,Geplafuvirales,Genomoviridae,Gemykibivirus,Rhinolophus associated gemykibivirus 1,2015-04-18T01:01:48.323Z
GCF_000973295.1,Geplafuvirales,Genomoviridae,Gemygorvirus,Sewage derived gemygorvirus 1,2015-04-18T01:01:34.387Z
GCF_000973195.1,Geplafuvirales,Genomoviridae,Gemykibivirus,Human associated gemykibivirus 2,2015-04-18T01:00:49.920Z
GCF_000970605.1,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Acerodon celebensis polyomavirus 2,2015-04-08T01:00:19.820Z
GCF_000969215.1,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Dobsonia moluccensis polyomavirus 2,2015-04-06T01:01:13.700Z
GCF_000969195.1,Geplafuvirales,Geminiviridae,Begomovirus,Tomato enation leaf curl virus,2015-04-06T01:01:09.893Z
GCF_000969115.1,Geplafuvirales,Geminiviridae,Begomovirus,Malvastrum yellow vein Cambodia virus,2015-04-06T01:00:46.893Z
GCF_000969095.1,Sepolyvirales,Polyomaviridae,Alphapolyomavirus,Dobsonia moluccensis polyomavirus 1,2015-04-06T01:00:41.960Z
GCF_000969035.1,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Dobsonia moluccensis polyomavirus 3,2015-04-06T01:00:25.673Z
GCF_000968995.1,Sepolyvirales,Polyomaviridae,Alphapolyomavirus,Pteropus vampyrus polyomavirus 1,2015-04-06T01:00:11.083Z
GCF_000955435.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium phage Trike,2015-03-17T13:01:21.587Z
GCF_000955395.1,Caudovirales,Siphoviridae,Fishburnevirus,Mycobacterium virus Malithi,2015-03-17T13:01:18.137Z
GCF_000955415.1,Caudovirales,Siphoviridae,Lidleunavirus,Lactobacillus virus Ldl1,2015-03-17T13:01:17.150Z
GCF_000955335.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas virus Ab28,2015-03-17T13:01:11.430Z
GCF_000955355.1,Caudovirales,Myoviridae,Nankokuvirus,Pseudomonas virus Ab03,2015-03-17T13:01:10.810Z
GCF_000955315.1,Caudovirales,Siphoviridae,Gaiavirus,Mycobacterium virus Gaia,2015-03-17T13:01:08.713Z
GCF_000955075.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium phage Estave1,2015-03-17T13:00:25.020Z
GCF_000955055.1,Caudovirales,Siphoviridae,Timquatrovirus,Mycobacterium phage Keshu,2015-03-17T13:00:23.320Z
GCF_000955095.1,Caudovirales,Siphoviridae,Omegavirus,Mycobacterium phage Minerva,2015-03-17T13:00:21.380Z
GCF_000954995.1,Caudovirales,Podoviridae,Bruynoghevirus,Pseudomonas virus Ab22,2015-03-17T12:59:59.413Z
GCF_000954955.1,Caudovirales,Myoviridae,Pbunavirus,Pseudomonas phage vB_PaeM_PAO1_Ab27,2015-03-17T12:59:45.470Z
GCF_000954895.1,Zurhausenvirales,Papillomaviridae,Chipapillomavirus,Chipapillomavirus 2,2015-03-17T12:59:39.117Z
GCF_000954715.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium phage Inventum,2015-03-17T12:59:17.573Z
GCF_000954735.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium phage Hades,2015-03-17T12:59:13.900Z
GCF_000954695.1,Caudovirales,Myoviridae,Radnorvirus,Arthrobacter virus ArV1,2015-03-17T12:59:08.927Z
GCF_000954675.1,Caudovirales,Siphoviridae,Timquatrovirus,Mycobacterium phage Milly,2015-03-17T12:59:06.990Z
GCF_000954615.1,Caudovirales,Siphoviridae,Casadabanvirus,Pseudomonas phage vB_PaeS_PAO1_Ab30,2015-03-17T12:58:59.397Z
GCF_000954635.1,Caudovirales,Autographiviridae,Phikmvvirus,Pseudomonas virus Ab05,2015-03-17T12:58:59.333Z
GCF_000954595.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium phage Cerasum,2015-03-17T12:58:52.540Z
GCF_000954375.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium phage Squirty,2015-03-17T12:58:13.603Z
GCF_000954355.1,Caudovirales,Siphoviridae,Cheoctovirus,Mycobacterium phage BuzzLyseyear,2015-03-17T12:58:09.723Z
GCF_000954335.1,Caudovirales,Siphoviridae,Fromanvirus,Mycobacterium phage Alvin,2015-03-17T12:58:01.453Z
GCF_000954315.1,Caudovirales,Siphoviridae,Chenonavirus,Mycobacterium virus Sbash,2015-03-17T12:57:54.343Z
GCF_000954295.1,Caudovirales,Myoviridae,Gofduovirus,Edwardsiella virus GF2,2015-03-17T12:57:39.173Z
GCF_000954275.1,Caudovirales,Siphoviridae,Abidjanvirus,Pseudomonas virus Ab18,2015-03-17T12:57:32.337Z
GCF_000843985.2,Herpesvirales,Herpesviridae,Percavirus,Equid gammaherpesvirus 2,2015-03-04T11:05:46.767Z
GCF_000943705.1,Geplafuvirales,Geminiviridae,Begomovirus,Asystasia mosaic Madagascar virus,2015-03-04T11:05:06.090Z
GCF_000931315.1,Cremevirales,Smacoviridae,Porprismacovirus,Human associated porprismacovirus 2,2015-02-22T19:11:54.313Z
GCF_000931115.1,Cremevirales,Smacoviridae,Porprismacovirus,Howler monkey associated porprismacovirus 1,2015-02-22T19:11:52.317Z
GCF_000931075.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Bromus associated gemycircularvirus 1,2015-02-22T19:11:47.937Z
GCF_000931155.1,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Meles meles polyomavirus 1,2015-02-22T19:11:47.740Z
GCF_000930855.1,Geplafuvirales,Genomoviridae,Gemykibivirus,Human associated gemykibivirus 1,2015-02-22T19:11:40.420Z
GCF_000930835.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Sewage derived gemycircularvirus 3,2015-02-22T19:11:40.200Z
GCF_000930755.1,Caudovirales,Siphoviridae,Biseptimavirus,Staphylococcus phage phiBU01,2015-02-22T19:11:36.650Z
GCF_000930695.1,Chitovirales,Poxviridae,Parapoxvirus,Parapoxvirus of red deer in New Zealand,2015-02-22T19:11:35.080Z
GCF_000930595.1,Caudovirales,Myoviridae,Tequatrovirus,Shigella virus Pss1,2015-02-22T19:11:32.633Z
GCF_000930515.1,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 12,2015-02-22T19:11:31.393Z
GCF_000930555.1,Tubulavirales,Inoviridae,Inovirus,Enterobacteria phage fd,2015-02-22T19:11:31.123Z
GCF_000930475.1,Geplafuvirales,Genomoviridae,Gemygorvirus,Starling associated gemygorvirus 1,2015-02-22T19:11:28.613Z
GCF_000930435.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Fur seal associated gemycircularvirus 1,2015-02-22T19:11:26.607Z
GCF_000930415.1,Geplafuvirales,Geminiviridae,Begomovirus,Jatropha leaf crumple virus,2015-02-22T19:11:26.027Z
GCF_000930215.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Sewage derived gemycircularvirus 2,2015-02-22T19:11:18.563Z
GCF_000930195.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Sewage-associated gemycircularvirus 7,2015-02-22T19:11:18.247Z
GCF_000930115.1,Caudovirales,Myoviridae,Peduovirus,Enterobacteria phage P88,2015-02-22T19:11:17.920Z
GCF_000930155.1,Sepolyvirales,Polyomaviridae,Gammapolyomavirus,Pygoscelis adeliae polyomavirus 1,2015-02-22T19:11:17.687Z
GCF_000930075.1,Piccovirales,Parvoviridae,Protoparvovirus,Porcine parvovirus 2,2015-02-22T19:11:15.020Z
GCF_000929995.1,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Cercopithecus erythrotis polyomavirus 1,2015-02-22T19:11:12.297Z
GCF_000929935.1,Piccovirales,Parvoviridae,Amdoparvovirus,Carnivore amdoparvovirus 3,2015-02-22T19:11:12.190Z
GCF_000930015.1,Sepolyvirales,Polyomaviridae,Alphapolyomavirus,Papio cynocephalus polyomavirus 1,2015-02-22T19:11:12.133Z
GCF_000929875.1,Cirlivirales,Circoviridae,Cyclovirus,Bat associated cyclovirus 10,2015-02-22T19:11:10.450Z
GCF_000929835.1,Geplafuvirales,Genomoviridae,Gemykroznavirus,Rabbit associated gemykroznavirus 1,2015-02-22T19:11:04.160Z
GCF_000929795.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Gerygone associated gemycircularvirus 2,2015-02-22T19:11:03.980Z
GCF_000929555.1,Caudovirales,Autographiviridae,Poseidonvirus,Synechococcus virus SCBP4,2015-02-22T19:10:52.333Z
GCF_000929475.1,Caudovirales,Chaseviridae,Pahsextavirus,Aeromonas virus pAh6C,2015-02-22T19:10:46.177Z
GCF_000929435.1,Herpesvirales,Herpesviridae,Percavirus,Equid gammaherpesvirus 5,2015-02-22T19:10:46.120Z
GCF_000929415.1,Cremevirales,Smacoviridae,Porprismacovirus,Gorilla associated porprismacovirus 1,2015-02-22T19:10:43.010Z
GCF_000929155.1,Geplafuvirales,Genomoviridae,Gemycircularvirus,Sewage derived gemycircularvirus 5,2015-02-22T19:10:33.737Z
GCF_000929235.1,Cremevirales,Smacoviridae,Huchismacovirus,Human smacovirus 1,2015-02-22T19:10:33.670Z
GCF_000929175.1,Geplafuvirales,Genomoviridae,Gemykibivirus,Sewage derived gemykibivirus 2,2015-02-22T19:10:30.613Z
GCF_000929095.1,Caudovirales,Siphoviridae,Jerseyvirus,Salmonella virus LSPA1,2015-02-22T19:10:28.987Z
GCF_000928995.1,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Mastomys natalensis polyomavirus 1,2015-02-22T19:10:24.267Z
GCF_000929035.1,Rowavirales,Adenoviridae,Atadenovirus,Psittacine atadenovirus A,2015-02-22T19:10:24.160Z
GCF_000929055.1,Caudovirales,Drexlerviridae,Tunavirus,Shigella virus PSf2,2015-02-22T19:10:22.690Z
